"EMSALSİZ TEMİZLİKTE ❗❗❗❗

2009 model bmw 3.16 İ LCİ PREMİUM
muayene bir buçuk yıl var
orjinal 180 bin km
motor performansı %88
sol arka yanda iki parça lokal çizik boyası
değişen ve hasar kayıtı kesinlikle yok
mevsimlik lastikler sıfır ayarında

araç çok temiz içinde dışında ezik göçük çizik yok clio parasına kusursuz araba

1.6 motor benzin lpg li
aracı istediğiniz yere gösterebilirsiniz
az yakan düşük vergili aile arabası
detaylı ekpertiz fotoğrafları gönerebilirim
emsallerinin altında fiyat

FİYAT :: 82500 TL

",Budakcıdan emsalsiz temizlikte
"2014 Model 3.20 ied 170 bg 8 ileri Joystick vites, kasko değeri 160.000

Aracım Hatasız, boyasız, değişensiz, hasar kayıtsız.

SOS yol yardım butonu. Işık paket iç ambiyans ve kapı kolları aydınlatması, bej deri iç döşeme, s
Eco, comfort, sport sürüş modu, hız sabitleyici...

Standart donanıma göre ekstraları;
M body kit, ön lip, M Spoiler, siyah M böbrekler, M yan logolar, 4 çıkış egsoz aktif (warex değil tok sesi var), 19"" m5 jant lastik sıfır, ön cam dahil komple film, piano black trim kaplama, sunroof, xenon vs.

Ev alacağım için satıyorum, takas düşünmüyorum, muayene 2020, yedek anahtar ve kitapcıklar mevcut, son bakımları Şimşek Bmw de yapıldı filtre ve sıvılar dışında balatalar da değişti, performansına göre yakıtı çok düşüktür. 350₺ ile 700 km şehir içi...","Hatasız-Boyasız-M Body Kit-19"" Jant"
aracım 89 model olup mat siyah bmw M40 serisi e 30 kasadır motor sıfır olup sıvı bakımları yeni yapılmıştır. hastasına gider,Bmw M40 E 30
"Değişen yok, sadece sol ön kapı boyalı. 5.600TL tramer kaydı var. İç dış orjinal M paket, ışık paket, rengi orjinal estoril mavi, bakımları 2-3 gün önce yapıldı masraf yapmadan 1 yıl kullanabilirsiniz. Araçta rehin haciz vs gibi satışa engel bir durum yoktur. Cepten veya mesaj yolu ile ulaşabilirsiniz. İhtiyaca binaen fiyat makul tutulmuştur. Pazarlık payı fiyat muadillerine göre uygun olduğu için çok yoktur. Ev arsa takası olmadığı gibi çek senet ile satış yoktur. ",Avukattan gerçek M Sport estoril blue
"AŞK 3 HARFTİR BMW

ARACIMIZ BORUSAN ÇIKIŞLI OLUP COMFORT-TECHNO PAKETTİR SONRADAN ÖZENLE VE TİTİZLİKLE ÖZEL PARÇALAR KULLANILARAK M PAKET YAPILMIŞTIR

ARACIMIZDA ORJİNAL M DİREKSİYON DA MEVCUT OLUP SONRADAN SADECE DIŞTAN M PAKET YAPILMIŞ ARAÇLARLA MUKAYESE ETMEYİNİZ SADECE DİREKSİYON 10.000 TL'DİR

ARACIMIZIN BÜTÜN YAPILAN İŞLEMLERİ ÖZENLE YAPILMIŞ OLUP TOPLAM 25.000 TL HARCANMIŞTIR

ARACIMIZIN YALNIZCA SOL ARKA ÇAMURLUĞU BOYALI OLUP HARİCİ HATA BOYA KAZA DEĞİŞEN YOKTUR

TRAMER HASAR KAYDI YOKTUR

ARACIMIZA SONRADAN YAPILAN ÖZELLİKLER;

M DİREKSİYON

ÖN-ARKA M TAMPON

ARKA ÇİFT EGZOS ÇIKIŞLI DİFÜZÖR (İKİSİDE FAAL DURUMDA)

YAN MARŞPİYELLERDE PİANO BLACK ÇITALAR

BAGAJ ÜSTÜ SPOİLER

ÖN TAMPON LİP

PİANO BLACK ÖN PANJUR

M4 AYNA KAPAKLARI

18 İNÇ M4 JANTLAR (LASTİKLER(245/40/18)

ÖZEL BMW LOGOLU SARI BİJON KAPAKLARI

SARI M PERFORMANCE YAZILI BREMBO FREN KALİPERLERİ

M LOGOLU SİBOP KAPAKLAR

ÖN ÇAMURLUK M LOGOLARI

M PEDAL SETİ

ARACA UYUMLU 3D HAVUZ PASPASLAR

AMERİKAN ÇİZİLMEZ CAM FİLMLERİ

XENON SİS FARLARI

AMERİKAN PARKLAR

VE DAHA SAYAMADIĞIMIZ BİRÇOK EKSTRA...

BUNLARIN DIŞINDA ARACIMIZIN ÖZELLİKLERİ;

ORJİNAL XENON FARLAR

ELEKTRİKLİ KATLANIR YAN AYNALAR

GERİ GÖRÜŞ KAMERASI

ELEKTROKROM YAN AYNALAR (IŞIĞA GÖRE KENDİLİĞİNDEN KARARAN)

ÇİFT BÖLGE İKLİMLENDİRMELİ DİJİTAL KLİMA

YAĞMUR SENSÖRÜ

FAR SENSÖRÜ

ARKA PARK SENSÖRÜ

KENDİLİĞİNDEN KARARAN İÇ DİKİZ AYNASI

ÖN-ARKA KOL DAYAMA

BLUETOOTH TELEFON

USB-AUX GİRİŞLERİ

YOL BİGİSAYARI

ECO PRO-COMFORT-SPORT SÜRÜŞ MODLARI

8 İLERİ ŞANZIMAN VS...

GALERİMİZ WOWWO ÜYE BAYİSİ OLUP BANKA KREDİSİZ KEFİLSİZ KREDİ PUANINIZ DÜŞÜK OLSA DAHİ HERKESE 42.000 TL PEŞİNAT İLE 36 AYA KADAR SENETLE SATIŞ İMKANIMIZ VARDIR

ÜSTELİK WOWWO İLE ALACAĞINIZ ARAÇLARDA 1 YIL VEYA 15.000 KM(HANGİSİ ÖNCE DOLARSA) MOTOR MEKANİK ŞANZIMAN GARANTİSİ WOWWO'DAN HEDİYE

DETAYLI BİLGİ İÇİN ARAYINIZ",2013 MODEL DIŞ M PAKET M DİREKSİYON HATASIZ TRAMERSİZ
Aracımız görünen temizliktedir Mator ve yürüyen aksamları sorunsuz dur Aracımızın exspertizi fotoğraflarda mevcuttur Aracımızda 10bin tramer mevcuttur,YETCAR DAN BMV 3.20İ
"ARACIMIZ 2017 MODEL 3.20D SPORTLINE PLUS PAKETTİR

ARAÇ GÖVDE RENGİ METALİK MİNERAL BEYAZ (SEDEFLİ BEYAZ)

ARARACIMIZ MAKYAJLI (LCI) KASADIR

BORUSAN ÇIKIŞLIDIR

ARACIMIZIN GARANTİSİ DEVAM ETMEKTEDİR

YEDEK ANAHTARI VE KİTAPCIKLARI MEVCUTTUR

ARACIMIZA FATURA KESİLECEKTİR KDV FİYATA DAHİLDİR





DONANIM ÖZELLİKLERİ:


8 İLERİ JOYSTİCK YENİ NESİL ŞANZIMAN
190 BG TWIN POWER YENİ NESİL TURBO DİZEL BMW MOTOR
LED FARLAR
LED ARKA STOPLAR
SUNROOF(ELEKTRİKLİ AÇILIR CAM TAVAN)
ÖN VE ARKA PARK SENSÖRÜ
FREN DESTEKLİ HIZ SABİTLEME VE LİMİTLEME (CRUISE CONTROL)
ELEKTRİKLİ HAFIZALI SÜRÜCÜ KOLTUĞU
ELEKTRİKLİ YOLCU KOLTUĞU
SİYAH SENSATEC DERİ DÖŞEME
RECARO SPOR KOLTUKLAR
BLUETOOH ÜZERİNDEN MÜZİK AKTARIMI
AKILLI TELEFON BAĞLANTI SİSTEMİ
S.O.S. BMW ACİL ÇAĞRI SİSTEMİ
BMW TELESERVICES
GELİŞTİRİLMİŞ YÜKSEK ÇÖZÜNÜRLÜKLÜ BMW İ-DRİVE BİLGİ EKRANI
SPORTLINE ÖN VE ARKA TAMPONLAR
FONKSİYONEL SPOR DERİ DİREKSİYON SİMİDİ

ELEKTRİKLİ KATLANIR YAN AYNALAR
START&STOP 
17'' SPORTLINE ALAŞIM JANTLAR
PIANO BLACK DIŞ KAPLAMA
PIANO BLACK İÇ KAPLAMA
PARLAK ALUMİNYUM İÇ KAPLAMA ŞERİDİ
PARK ASİSTANLI YAN AYNALAR
BLUETOOTH HANDS FREE
GELİŞMİŞ GÖSTERGE PANELİ
SERVOTRONİK DİREKSİYON
AKILLI ANAHTAR
ANAHTARSIZ ÇALIŞMA
ÖN KOL DAYAMA
ARKA KOL DAYAMA
İÇ VE DIŞ IŞIK PAKETİ
DİJİTAL ÇİFT BÖLGELİ KLİMA
FONKSİYONEL SPOR DERİ DİREKSİYON
YAĞMUR SEZİCİ
FAR SENSÖRÜ
ECO/COMFORT/SPORT/SPORT+ SÜRÜŞ MODLARI
TÜRKÇE ÖN PANEL
AKUSTİK KEMER UYARISI
OTOMATİK KAPI KİLİT FONKSİYONU 
KARTER KORUMA
VELUR HALI PASPASLAR
GERİ GÖRÜŞ KAMERASI
RUN FLAT (PATLAMAYAN) LASTİKLER 
 
 


İLETİŞİM BİLGİLERİMİZ:


 AHMET SERHAT ÇAVUŞOĞLU:  0 533 216 00 63                                     
TANJU EYÜP TOPÇU:                   0 533 244 33 81




EKSPERTİZ DURUMU:
ARACIMIZIN SOL ARKA ÇAMURLUĞUNDA SÜRTME KAYNAKLI YÜZEYSEL BİR BOYA MEVCUTTUR, SBM TRAMER SİSTEMİNDE HASAR KAYDI YOKTUR.


DİLEDİĞİNİZ YERDE EKSPERTİZ YAPTIRABİLİRSİNİZ



FİNASMAN ŞARTLARI:
ARAÇLARIMIZA AYLIK %1,66 VADE ORANINA KADAR KREDİ KULLANIM İMKANI SUNMAKTAYIZ








DİĞER İLANLARIMIZ İÇİN     otofors.sahibinden.com         ADRESİMİZİ ZİYARET EDİNİZ





",2017 BORUSAN BMW 320D SPORTLINE PLUS SUNROOF CRUISE LED KAZASIZ
"araç hasar kayıtlı olup sigortadan alıp kendim yaptırdım kesinlikle airbag acmamis tir çalışmayan aksamı yoktur temiz bir aractir

araçta değişen olmayıp tavan bagaj sağ on çamurluk boyasiz geri etek alti boyali",f30 sahibinden
"





2012 BMW 3.20 D  

ARACIMIZDA 2 PARÇA LOKAL BOYA VARDIR. 2 DEĞİŞEN HARİCİ İŞLEM DEĞİŞEN BOYA YOKTUR 

PARÇA PARÇA 9,000 TL HASAR KAYDI VARDIR.

ARACIMIZ 190.000 KM DE BAKIMLARI DÜZENLİ OLARAK YAPILMIŞTIR.










BAŞLICA ÖZELLİKLER

 JOYSTICK VİTES

SUNROOF

DİJİTAL KLİMA

IŞIK PAKETİ

LED

XENON

SİS

ELEKTRİKLİ  DİKİZ AYNALARI

HIZ LİMİTLEME

ARKA PARK SENSÖRÜ

YOL BİLGİSAYARI

OTOMATİK YAĞMUR VE FAR SENSÖRÜ

FONKSİYONEL DERİ DİREKSİYON

BLUETOOTH TELEFON

MP3 CD ÇALAR 

USB GİRİŞİ - AUX IN

ECO START STOP ENGINE

ANAHTARSIZ ÇALIŞTIRMA

LASTİK BASINÇ SENSÖRÜ

4 FARKLI SÜRÜŞ MODU

NOT: MANTIKLI ARAÇLAR İLE TAKAS YAPILIR​





",SAHİBİNDEN (2012 BMW 3.20 D SPORTLİNE) SUNROOF 4 SÜRÜŞ MODLU
"





ARACIM 2016 MODEL OLUP 39.000 KM'DEDİR.

ARACIM BORUSAN BAYİ ÇIKIŞLIDIR.
BAKIMLARI YETKİLİ SERVİSDE YAPILMIŞTIR
SON BAKIMI 24.12.2018 TARİHİNDE BOSTANCI KOSİFLER OTO YETKİLİ BMW SERVİSİNDE YAPILMIŞTIR.
ARACIM 04.10.2016 TARİHİNDE TRAFİĞE ÇIKMIŞTIR.
ARACIN YEDEK ANAHTARI VARDIR.


ALICI KİŞİ MASRAF ETMEDEN ARACI KULLANABİLECEKTİR.

% 18 FATURA KESİLECEKTİR. 



EKSPERTİZ DURUMU
SAĞ ARKA KAPI BOYALI
HASAR DURUMU﻿
HASAR KAYDI YOKTUR

ARACIN BAZI ÖZELLİKLERİ AŞAĞIDAKİ GİBİDİR,


.   Bİ XENON FAR SİSTEMİ
·         Otomatik Klima


  ﻿·         Döşeme: Deri

·         CD Çalarlı Radyo MP3 Uyumlu


·         Geri Görüş Kamerası

·         Start-stop


·         Ön Kol Dayama

·         Yokuş Kalkış Desteği

·         Yolcu Hava Yastığı

·         Yol Bilgisayarı

·         Yağmur Sensörü

·         Uzaktan Kumandalı Merkezi Kilit

·         Sürücü Hava Yastığı

·         Sunroof

·         Sis Farı

·         Park Sensörü

·         Otomatik Far Sistemi

·         Motor Blokaj - İmmobilizer

·         Koltuk Hava Yastığı

·         Hız Sabitleme Sistemi - Cruise Control

·         Hidrolik Direksiyon

·         Hava Perdeleri

·         Hafızalı Koltuk

·         Fonksiyonel Direksiyon

·         Elektronik Denge Programı - Esp

·         Elektrikli Ön Camlar

·         Elektrikli Katlanabilen Aynalar

·         Elektrikli Ayna

·         Elektrikli Arka Camlar

·         Elektrik Ayarlı Koltuk

·         Deri Direksiyon Simidi

·         Ayarlanabilir Direksiyon

·         Antipatinaj Sistemi - Asr, Tcs﻿





",TERTEMİZ MASRAFSIZ BMW 3.20 i SPORT LİNE
"

                                      ARACIN GENEL DURUMU

 Bütün bakımları yeni yapılmıştır



Masrafsızdır

Muayenesi 2020 4. aya kadar geçerli

Motor şanzıman yürüyen aksamı sorunsuzdur


Koltuklarında döşemeleri temiz ve sorunsuz




Benzin & LPG

Prins marka LPG mevcuttur şehir içi 40 kuruş yakıt tüketimi

4 adet Dunlop marka patlamaz RFT lastikleri vardır


Araç 172.000 Kilometrede


5 parça boyalı boyalı kısımlar aşağıda işaretlenmiştir


Hasar kaydı : 1000 tl


GELENİ ÜZMEM...





ARAÇ ÖZELLİKLERİ

İç ve Dış Işık Pakettir

Dijital Klima

Deri Koltuk - Siyah Renk Döşeme

Sunroof

Otomatik Far Sensörü

Otomatik Yağmur Sensörü

Elektrikli Arka Cam Makam Perdesi

Aux Girişi

Arka Park Sensörü

Otomatik Kararan Aynalar

Yedek Anahtar

Kitapçık

İlk Yardım Çantası





",Sahibinden Değişensiz Tertemiz Sunroof'lu Hasar Kayıtsız
"


ERGİ MOTORS

ERGİ MOTORS 2011 335İ ARACIMIZ  TAMAMEN ORJİNAL TAMAMEN ÖZEL ÜRETİM TÜRKİYE'DE TEK BAŞKA YOK BAYİİ ÇIKIŞLI BORUSAN 

 OTOMATİK VİTES

2011 BMW 335 İ 

M PAKET

73.000 KM

F1 VİTES

ADAPTİF Bİ-XENON FAR

HAFIZALI KOLTUK

ELEKTRİKLİ KOLTUKLAR

KOLTUK ISITMA

UZUN FAR ASİST

RECARO DÖŞEME

BÜYÜK EKRAN

NAVİGASYON

DVD

HIZ SABİTLEME

DİJİTAL KLİMA

DAKOTA  DERİ DÖŞEME

KATLANIR YAN AYNALAR

AİRBAG

DSC

PDC

ÖN ARKA PARK MESAFE

ELEKTRİKLİ PERDE

3 KOL SPOR  DİREKSİYON

BMW ALARM

S.O.S

DERİ DİREKSİYON

19 ÇELİK JANT

UZAKTAN KUMANDA

ELEKTRİKLİ AYNA

2 CAM OTOMATİK

AYNA ISITMA

SİS FARI

JB4 BEYİN

YÜKSEK BASINÇ POMPASI 

PRO LOGİC 7 MÜZİK SİSTEMİ

VİDEO'DAKİ MOTOR SESİ ORJİNALDİR. 





",ERGİ MOTORS 2011 BMW 335İ M PAKET TÜRKİYE'DE TEK EMSALSİZ FULL
"Araç hasarsız, değişensiz, boyasızdır. Piyasa fiyatından çok daha uygun bir fiyata, mavi metalik renk avantajıyla birlikte satışa sunulmaktadır. Aracın bakımları yapılmış olup, sıfıra yakın olan kış lastikleri de alıcısına verilecektir.","Sahibinden hasarsız, değişensiz, boyasız tertemiz araç.."
